country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Libya,,,,,4.14,,,,,,,,,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,,,,,
Liechtenstein,35.8,,,,,,,,,,44.7,,,,,,,,,,47.1,,,,,,,,,,,,,,,,,,,,52.6,52.6,51.8,52.6,52.6,52.8,52.7,53.9,52.8,52.6,52.6,54.7,54.1,53.5,53.6,53.7,53.3,53.1,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,,,,,,,,53.9,53.4,55.1,55,53.6,52.6,55,51.5,50.8,50.2,50.2,50.5,52,52.5,52.7,53.2,52.9,53.9,54.4,55.7,55.8,56.5,57.3
Luxembourg,27.2,,,,,,26.7,,,,24.8,,,,,,,,,,,33.3,,33,33.1,34.9,34.8,35.6,34.3,34.5,33.6,35.9,39.1,37.6,38.4,35.9,37,38.1,38.5,40.7,41.4,42.4,43.5,43.7,45.4,46.3,49.4,50.4,48.1,49.9,49.8,50.3,51.9,52.5,53.4,54.6,53.5,55,55.8,55.8
Madagascar,,,,,,50.7,,,,,,,,,,71.7,,,,,,,,,,31.6,,,,,,,,,,,,,,,,,,79.2,,84.6,,,,,62.4,,91.3,,,83.6,,,,
Malawi,,,,,,,,,,,,,,,,62.1,,,,,,,,86.2,,,,75.3,,,,,,,,,,,75.5,,,,,,88.1,78.1,,,,,,,,72.9,,,,50.4,,
Malaysia,,,,,,,,,,,,,,,,,,,,,40.1,,44.5,45.7,45.2,45.9,46.4,47.5,47.5,46.7,47.8,35.1,46.9,46.5,,44.7,46.8,46,44.4,44.7,47.6,46.8,46.7,47.7,47.2,45.9,,,,,,,,,53.7,54.1,54.3,54.7,55.2,
Maldives,,,,,,,,,,,,,,,,,,62.3,,,,,,,,23.8,,,,,20.2,,,,,28.1,,,,,37.4,,,,,,,,,38.2,,,,,46.8,,42.2,,,
Mali,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,66.3,77.3,,,50.4,,,71.2,60.7,61.8,49.9,58.6,51.6,
Malta,,,,,,,,13.4,,,,,,,,,,,,19.3,19.5,18.8,,17.5,,18.4,17.4,18.1,18.4,18.4,18.7,,,19.1,23.8,,25.4,25.6,25.9,21.4,29.7,29.6,31,30.8,28.6,30.3,30.4,32.3,33.5,34,34.8,36.1,39.1,41.2,42.8,43.5,45.2,46.8,49.6,51.8
Marshall Islands,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,4.49,,,,,,,,,,,,,25.3,,,,,,,,,,,,28.5,,,,,,,,,,,,28,,,,,27.2,,
